lng,lat,dest_lng,dest_lat,time_s
-87.6163347894,41.8347038748,-87.6023885556,41.8240900087,988
-87.6163347894,41.8347038748,-87.6324675015,41.8090762537,1095
-87.6163347894,41.8347038748,-87.6178849991,41.8129289169,621
-87.6163347894,41.8347038748,-87.5933614086,41.8095969636,1259
-87.6163347894,41.8347038748,-87.6904392161,41.9760184484,4333
-87.6163347894,41.8347038748,-87.6174427491,41.7911312433,1141
-87.6163347894,41.8347038748,-87.5907857873,41.7942340378,1620
-87.6163347894,41.8347038748,-87.591103864,41.7761334681,2656
-87.6163347894,41.8347038748,-87.6696044975,42.0104989522,3929
-87.6163347894,41.8347038748,-87.7703223329,41.9825042397,4455
-87.6163347894,41.8347038748,-87.7583068883,41.9917059089,5710
-87.6163347894,41.8347038748,-87.7261488733,41.9846051995,4998
-87.6163347894,41.8347038748,-87.7213693543,41.968521496,4492
-87.6163347894,41.8347038748,-87.7645780585,41.9535688785,4915
-87.6163347894,41.8347038748,-87.7210876711,41.9535127833,3961
-87.6163347894,41.8347038748,-87.806456747,41.9472647818,4672
-87.6163347894,41.8347038748,-87.7980809604,41.9278743552,4838
-87.6163347894,41.8347038748,-87.7660523178,41.9263941918,4064
-87.6163347894,41.8347038748,-87.692752708,42.0013058794,4468
-87.6163347894,41.8347038748,-87.7322612632,41.9262258671,4344
-87.6163347894,41.8347038748,-87.7115523634,41.9392149708,3514
-87.6163347894,41.8347038748,-87.6975403474,41.9248265528,3408
-87.6163347894,41.8347038748,-87.7164903481,41.900872806,4075
-87.6163347894,41.8347038748,-87.6731828793,41.9021777644,3271
-87.6163347894,41.8347038748,-87.7728098301,41.8944136969,3945
-87.6163347894,41.8347038748,-87.7303958682,41.8782963834,3341
-87.6163347894,41.8347038748,-87.7048274062,41.878719841,3340
-87.6163347894,41.8347038748,-87.6633940945,41.8733728795,2907
-87.6163347894,41.8347038748,-87.7139721106,41.8582848402,3424
-87.6163347894,41.8347038748,-87.652637557,41.9661075197,3365
-87.6163347894,41.8347038748,-87.7133612858,41.8378379546,2647
-87.6163347894,41.8347038748,-87.6616155822,41.8474095044,1977
-87.6163347894,41.8347038748,-87.6203833666,41.8565996829,930
-87.6163347894,41.8347038748,-87.6364609818,41.8406962182,1682
-87.6163347894,41.8347038748,-87.8072228108,41.9856125953,4581
-87.6163347894,41.8347038748,-87.6288765812,41.8989537971,1976
-87.6163347894,41.8347038748,-87.6203724059,41.8789724974,1832
-87.6163347894,41.8347038748,-87.5681135653,41.7626448354,3030
-87.6163347894,41.8347038748,-87.6174163989,41.736958739,2495
-87.6163347894,41.8347038748,-87.5817914573,41.7468320805,2849
-87.6163347894,41.8347038748,-87.5550587928,41.7389921662,3855
-87.6163347894,41.8347038748,-87.595610964,41.7294105994,3546
-87.6163347894,41.8347038748,-87.6717818648,41.8310103201,1497
-87.6163347894,41.8347038748,-87.6522001507,41.9469886855,2555
-87.6163347894,41.8347038748,-87.5705121861,41.72989349,3386
-87.6163347894,41.8347038748,-87.6230081049,41.7122781921,2526
-87.6163347894,41.8347038748,-87.6851079785,41.9468770735,3739
-87.6163347894,41.8347038748,-87.5980333532,41.7038819518,3942
-87.6163347894,41.8347038748,-87.5720604263,41.6915254757,-1
-87.6163347894,41.8347038748,-87.535020955,41.7078837283,3973
-87.6163347894,41.8347038748,-87.6369389639,41.6713896802,3803
-87.6163347894,41.8347038748,-87.5993467357,41.6653987328,-1
-87.6163347894,41.8347038748,-87.556809916,41.6681847188,-1
-87.6163347894,41.8347038748,-87.7696246581,41.8034030164,-1
-87.6163347894,41.8347038748,-87.7261730216,41.8108057493,3553
-87.6163347894,41.8347038748,-87.6991215254,41.81936451,2772
-87.6163347894,41.8347038748,-87.6494664458,41.836409452,1541
-87.6163347894,41.8347038748,-87.6599414275,41.8087268165,1389
-87.6163347894,41.8347038748,-87.7255904576,41.7959029727,3261
-87.6163347894,41.8347038748,-87.6962913388,41.7954730247,2746
-87.6163347894,41.8347038748,-87.7691960936,41.7784604941,3964
-87.6163347894,41.8347038748,-87.7272430628,41.7695687374,3761
-87.6163347894,41.8347038748,-87.695548386,41.7718490499,3134
-87.6163347894,41.8347038748,-87.666801359,41.7759025044,2613
-87.6163347894,41.8347038748,-87.6415606141,41.7753382456,2621
-87.6163347894,41.8347038748,-87.6159993134,41.7669573171,1693
-87.6163347894,41.8347038748,-87.6514869184,41.9218996159,2485
-87.6163347894,41.8347038748,-87.7071433238,41.7479965953,3584
-87.6163347894,41.8347038748,-87.6561609095,41.7433892887,3310
-87.6163347894,41.8347038748,-87.6762394297,41.7172935896,3385
-87.6163347894,41.8347038748,-87.6506245727,41.7159863761,3044
-87.6163347894,41.8347038748,-87.717747815,41.6968692635,4998
-87.6163347894,41.8347038748,-87.6690344105,41.6878025708,3211
-87.6163347894,41.8347038748,-87.8874544692,41.9731379747,-1
-87.6163347894,41.8347038748,-87.6611514222,41.9871697889,3574
-87.6163347894,41.8347038748,-87.8139807709,42.0071782564,5468
-87.6023885556,41.8240900087,-87.6163347894,41.8347038748,1072
-87.6023885556,41.8240900087,-87.6324675015,41.8090762537,1693
-87.6023885556,41.8240900087,-87.6178849991,41.8129289169,818
-87.6023885556,41.8240900087,-87.5933614086,41.8095969636,1877
-87.6023885556,41.8240900087,-87.6904392161,41.9760184484,4890
-87.6023885556,41.8240900087,-87.6174427491,41.7911312433,1721
-87.6023885556,41.8240900087,-87.5907857873,41.7942340378,1698
-87.6023885556,41.8240900087,-87.591103864,41.7761334681,2373
-87.6023885556,41.8240900087,-87.6696044975,42.0104989522,3958
-87.6023885556,41.8240900087,-87.7703223329,41.9825042397,4365
-87.6023885556,41.8240900087,-87.7583068883,41.9917059089,5140
-87.6023885556,41.8240900087,-87.7261488733,41.9846051995,4428
-87.6023885556,41.8240900087,-87.7213693543,41.968521496,4584
-87.6023885556,41.8240900087,-87.7645780585,41.9535688785,4208
-87.6023885556,41.8240900087,-87.7210876711,41.9535127833,3391
-87.6023885556,41.8240900087,-87.806456747,41.9472647818,4927
-87.6023885556,41.8240900087,-87.7980809604,41.9278743552,5697
-87.6023885556,41.8240900087,-87.7660523178,41.9263941918,4211
-87.6023885556,41.8240900087,-87.692752708,42.0013058794,5485
-87.6023885556,41.8240900087,-87.7322612632,41.9262258671,3847
-87.6023885556,41.8240900087,-87.7115523634,41.9392149708,2944
-87.6023885556,41.8240900087,-87.6975403474,41.9248265528,2838
-87.6023885556,41.8240900087,-87.7164903481,41.900872806,4341
-87.6023885556,41.8240900087,-87.6731828793,41.9021777644,2701
-87.6023885556,41.8240900087,-87.7728098301,41.8944136969,4078
-87.6023885556,41.8240900087,-87.7303958682,41.8782963834,3954
-87.6023885556,41.8240900087,-87.7048274062,41.878719841,3100
-87.6023885556,41.8240900087,-87.6633940945,41.8733728795,3856
-87.6023885556,41.8240900087,-87.7139721106,41.8582848402,3856
-87.6023885556,41.8240900087,-87.652637557,41.9661075197,3394
-87.6023885556,41.8240900087,-87.7133612858,41.8378379546,3079
-87.6023885556,41.8240900087,-87.6616155822,41.8474095044,3490
-87.6023885556,41.8240900087,-87.6203833666,41.8565996829,1751
-87.6023885556,41.8240900087,-87.6364609818,41.8406962182,2275
-87.6023885556,41.8240900087,-87.8072228108,41.9856125953,4011
-87.6023885556,41.8240900087,-87.6288765812,41.8989537971,2005
-87.6023885556,41.8240900087,-87.6203724059,41.8789724974,2422
-87.6023885556,41.8240900087,-87.5681135653,41.7626448354,3108
-87.6023885556,41.8240900087,-87.6174163989,41.736958739,3093
-87.6023885556,41.8240900087,-87.5817914573,41.7468320805,2927
-87.6023885556,41.8240900087,-87.5550587928,41.7389921662,3933
