from,to,time
ANDERSONVILLE,ANDERSONVILLE,1785.565217
ANDERSONVILLE,BUCKTOWN,1955
ANDERSONVILLE,EDGEWATER,280.9238477
ANDERSONVILLE,HYDE PARK,6044
ANDERSONVILLE,IRVING PARK,1965
ANDERSONVILLE,LAKE VIEW,1225.180851
ANDERSONVILLE,LINCOLN PARK,2783.933333
ANDERSONVILLE,LINCOLN SQUARE,437.4219653
ANDERSONVILLE,LOGAN SQUARE,2838
ANDERSONVILLE,LOOP,2572.5
ANDERSONVILLE,NORTH CENTER,1032
ANDERSONVILLE,NORTH PARK,1310
ANDERSONVILLE,OLD TOWN,1665.666667
ANDERSONVILLE,RIVER NORTH,2195
ANDERSONVILLE,ROGERS PARK,916.2
ANDERSONVILLE,RUSH & DIVISION,3534
ANDERSONVILLE,SHEFFIELD & DEPAUL,1605.5
ANDERSONVILLE,UPTOWN,629.3623188
ANDERSONVILLE,WEST RIDGE,1081.714286
ANDERSONVILLE,WICKER PARK,2155.25
ANDERSONVILLE,WRIGLEYVILLE,794.6666667
ARMOUR SQUARE,ARMOUR SQUARE,462.3328
ARMOUR SQUARE,BACK OF THE YARDS,739.4166667
ARMOUR SQUARE,BRIDGEPORT,496.9010101
ARMOUR SQUARE,BRIGHTON PARK,1127.095238
ARMOUR SQUARE,BRONZEVILLE,530.7067669
ARMOUR SQUARE,GARFIELD PARK,3601.5
ARMOUR SQUARE,GOLD COAST,4083
ARMOUR SQUARE,GRANT PARK,2296.666667
ARMOUR SQUARE,HYDE PARK,2832
ARMOUR SQUARE,KENWOOD,1624
ARMOUR SQUARE,LAKE VIEW,3341.416667
ARMOUR SQUARE,LINCOLN PARK,1765
ARMOUR SQUARE,LITTLE ITALY,1113.327273
ARMOUR SQUARE,LITTLE VILLAGE,2120.333333
ARMOUR SQUARE,LOOP,1552.732759
ARMOUR SQUARE,LOWER WEST SIDE,846.1566265
ARMOUR SQUARE,MILLENIUM PARK,1855.625
ARMOUR SQUARE,MUSEUM CAMPUS,2056.555556
ARMOUR SQUARE,NEAR SOUTH SIDE,723.1859504
ARMOUR SQUARE,PRINTERS ROW,1237.518519
ARMOUR SQUARE,RIVER NORTH,1493.605263
ARMOUR SQUARE,RUSH & DIVISION,1583.911765
ARMOUR SQUARE,STREETERVILLE,2013.727273
ARMOUR SQUARE,UKRAINIAN VILLAGE AND EAST VILLAGE,4009
ARMOUR SQUARE,WEST LOOP,1214.77193
ARMOUR SQUARE,WICKER PARK,2300.571429
AUSTIN,AUSTIN,1909.15
AUSTIN,BELMONT CRAIGIN,1875.5
AUSTIN,BUCKTOWN,2432.076923
AUSTIN,GARFIELD PARK,1727.25
AUSTIN,HUMBOLDT PARK,1389
AUSTIN,LITTLE VILLAGE,1384
AUSTIN,LOGAN SQUARE,1579.066667
AUSTIN,LOOP,2698.6
AUSTIN,WICKER PARK,2289.75
AVALON PARK,AVALON PARK,1471
AVALON PARK,CHATHAM,463.5454545
AVALON PARK,SOUTH SHORE,565.6
BACK OF THE YARDS,ARMOUR SQUARE,942.8888889
BACK OF THE YARDS,BACK OF THE YARDS,648.421875
BACK OF THE YARDS,BRIDGEPORT,840.358209
BACK OF THE YARDS,BRIGHTON PARK,621.3333333
BACK OF THE YARDS,BRONZEVILLE,642.75
BACK OF THE YARDS,ENGLEWOOD,1320.5
BACK OF THE YARDS,GRANT PARK,4874.5
BACK OF THE YARDS,HYDE PARK,1550.444444
BACK OF THE YARDS,KENWOOD,511
BACK OF THE YARDS,LITTLE ITALY,2032.75
BACK OF THE YARDS,LOOP,2104.5
BACK OF THE YARDS,LOWER WEST SIDE,1693.333333
